player_name,team
Ruturaj Gaikwad,CSK
Ayush Mhatre,CSK
M S Dhoni,CSK
Sanju Samson,CSK
Dewald Brevis,CSK
Urvil Patel,CSK
Shivam Dube,CSK
Jamie Overton,CSK
Ramakrishna Ghosh,CSK
Noor Ahmad,CSK
Khaleel Ahmed,CSK
Anshul Kamboj,CSK
Gurjapneet Singh,CSK
Shreyas Gopal,CSK
Mukesh Choudhary,CSK
Nathan Ellis,CSK
Akeal Hosein,CSK
Prashant Veer,CSK
Kartik Sharma,CSK
Matthew Short,CSK
Aman Khan,CSK
Sarfaraz Khan,CSK
Matt Henry,CSK
Rahul Chahar,CSK
Zak Foulkes,CSK
Hardik Pandya,MI
Rohit Sharma,MI
Suryakumar Yadav,MI
Tilak Varma,MI
Ryan Rickelton,MI
Robin Minz,MI
Raj Bawa,MI
Raghu Sharma,MI
Mitchell Santner,MI
Corbin Bosch,MI
Naman Dhir,MI
Jasprit Bumrah,MI
Trent Boult,MI
Allah Ghazanfar,MI
Ashwani Kumar,MI
Deepak Chahar,MI
Will Jacks,MI
Sherfane Rutherford,MI
Mayank Markande,MI
Shardul Thakur,MI
Quinton de Kock,MI
Danish Malewar,MI
Mohammad Izhar,MI
Atharva Ankolekar,MI
Mayank Rawat,MI
Ajinkya Rahane,KKR
Angkrish Raghuvanshi,KKR
Anukul Roy,KKR
Harshit Rana,KKR
Manish Pandey,KKR
Ramandeep Singh,KKR
Rinku Singh,KKR
Rovman Powell,KKR
Sunil Narine,KKR
Umran Malik,KKR
Vaibhav Arora,KKR
Varun Chakravarthy,KKR
Cameron Green,KKR
Finn Allen,KKR
Matheesha Pathirana,KKR
Tejasvi Singh,KKR
Kartik Tyagi,KKR
Prashant Solanki,KKR
Rahul Tripathi,KKR
Tim Seifert,KKR
Sarthak Ranjan,KKR
Daksh Kamra,KKR
Rachin Ravindra,KKR
Akash Deep,KKR
Rajat Patidar,RCB
Virat Kohli,RCB
Devdutt Padikkal,RCB
Phil Salt,RCB
Jitesh Sharma,RCB
Krunal Pandya,RCB
Swapnil Singh,RCB
Tim David,RCB
Romario Shepherd,RCB
Jacob Bethell,RCB
Josh Hazlewood,RCB
Yash Dayal,RCB
Bhuvneshwar Kumar,RCB
Nuwan Thushara,RCB
Rasikh Salam,RCB
Abhinandan Singh,RCB
Suyash Sharma,RCB
Venkatesh Iyer,RCB
Jacob Duffy,RCB
Satvik Deswal,RCB
Mangesh Yadav,RCB
Jordan Cox,RCB
Vicky Ostwal,RCB
Vihaan Malhotra,RCB
Kanishk Chouhan,RCB
Prabhsimran Singh,PBKS
Priyansh Arya,PBKS
Shreyas Iyer,PBKS
Shashank Singh,PBKS
Nehal Wadhera,PBKS
Marcus Stoinis,PBKS
Azmatullah Omarzai,PBKS
Marco Jansen,PBKS
Harpreet Brar,PBKS
Yuzvendra Chahal,PBKS
Arshdeep Singh,PBKS
Musheer Khan,PBKS
Pyala Avinash,PBKS
Harnoor Pannu,PBKS
Suryansh Shedge,PBKS
Mitchell Owen,PBKS
Xavier Bartlett,PBKS
Lockie Ferguson,PBKS
Vyshak Vijaykumar,PBKS
Yash Thakur,PBKS
Vishnu Vinod,PBKS
Cooper Connolly,PBKS
Ben Dwarshuis,PBKS
Pravin Dubey,PBKS
Vishal Nishad,PBKS
Shubman Gill,GT
Sai Sudharsan,GT
Kumar Kushagra,GT
Anuj Rawat,GT
Jos Buttler,GT
Nishant Sindhu,GT
Washington Sundar,GT
Glenn Phillips,GT
Arshad Khan,GT
Shahrukh Khan,GT
Rahul Tewatia,GT
Kagiso Rabada,GT
Mohammed Siraj,GT
Prasidh Krishna,GT
Ishant Sharma,GT
Gurnoor Singh Brar,GT
Rashid Khan,GT
Manav Suthar,GT
Sai Kishore,GT
Jayant Yadav,GT
Ashok Sharma,GT
Jason Holder,GT
Tom Banton,GT
Prithvi Raj Yarra,GT
Luke Wood,GT
Ravindra Jadeja,RR
Sam Curran,RR
Donovan Ferreira,RR
Sandeep Sharma,RR
Shubham Dubey,RR
Vaibhav Suryavanshi,RR
Lhuan-Dre Pretorius,RR
Shimron Hetmyer,RR
Yashasvi Jaiswal,RR
Dhruv Jurel,RR
Riyan Parag,RR
Yudhvir Singh Charak,RR
Jofra Archer,RR
Tushar Deshpande,RR
Kwena Maphaka,RR
Nandre Burger,RR
Ravi Bishnoi,RR
Sushant Mishra,RR
Yash Raj Punja,RR
Vignesh Puthur,RR
Ravi Singh,RR
Aman Rao,RR
Brijesh Sharma,RR
Adam Milne,RR
Kuldeep Sen,RR
Pat Cummins,SRH
Travis Head,SRH
Abhishek Sharma,SRH
Aniket Verma,SRH
R Smaran,SRH
Ishan Kishan,SRH
Heinrich Klaasen,SRH
Nitish Kumar Reddy,SRH
Harsh Dubey,SRH
Kamindu Mendis,SRH
Harshal Patel,SRH
Brydon Carse,SRH
Jaydev Unadkat,SRH
Eshan Malinga,SRH
Zeeshan Ansari,SRH
Shivang Kumar,SRH
Salil Arora,SRH
Sakib Hussain,SRH
Onkar Tarmale,SRH
Amit Kumar,SRH
Praful Hinge,SRH
Krains Fuletra,SRH
Liam Livingstone,SRH
Shivam Mavi,SRH
Jack Edwards,SRH
Abdul Samad,LSG
Ayush Badoni,LSG
Aiden Markram,LSG
Matthew Breetzke,LSG
Himmat Singh,LSG
Rishabh Pant,LSG
Nicholas Pooran,LSG
Mitchell Marsh,LSG
Shahbaz Ahmed,LSG
Arshin Kulkarni,LSG
Mayank Yadav,LSG
Avesh Khan,LSG
Mohsin Khan,LSG
Manimaran Siddharth,LSG
Digvesh Rathi,LSG
Prince Yadav,LSG
Akash Singh,LSG
Mohammed Shami,LSG
Arjun Tendulkar,LSG
Wanindu Hasaranga,LSG
Anrich Nortje,LSG
Mukul Choudhary,LSG
Naman Tiwari,LSG
Akshat Raghuwanshi,LSG
Josh Inglis,LSG
Nitish Rana,DC
Abishek Porel,DC
Ajay Mandal,DC
Ashutosh Sharma,DC
Axar Patel,DC
Dushmantha Chameera,DC
Karun Nair,DC
KL Rahul,DC
Kuldeep Yadav,DC
Madhav Tiwari,DC
Mitchell Starc,DC
Sameer Rizvi,DC
T Natarajan,DC
Tripurana Vijay,DC
Tristan Stubbs,DC
Vipraj Nigam,DC
David Miller,DC
Ben Duckett,DC
Auqib Nabi Dar,DC
Pathum Nissanka,DC
Lungi Ngidi,DC
Sahil Parakh,DC
Prithvi Shaw,DC
Kyle Jamieson,DC
